,Date,Player,Item,DKP
2080,2/22,Eedz,Nerubian Slavemaker,450
2532,5/11,BLToaster,Eyestalk Waist Cord,450
1492,,Don,Breastplate of Annihilation,450
2983,7/26,Ismagu,Shroud of Dominion,450
2652,5/31,Aetherium,Stormrage's Talisman of Seething,449
921,,Oom,Cloak of the Necropolis,449
1981,2/1,Todger,Leggings of Polarity,448
1772,1/11,Kibbles,Gem of Trapped Innocents,444
2993,7/26,Inuyasha,Plated Abomination Ribcage,444
3096,8/10,Mallanim,Striker's Mark,444
2827,6/28,Spooge,Gem of Trapped Innocents,440
2024,2/9,Spooge,Dark Storm Gauntlets,439
2134,3/1,Inu,The Castigator,436
766,,Tofra,The Restrained Essence of Sapphiron,435
2441,4/26,Raphael,Stormrage's Talisman of Seething,434
978,,Thunderhamer,Wristguards of Vengeance,434
2888,7/6,Mallanim,AQR,432
201,,Virahl,Desecrated Helmet,430
2591,5/18,Glowork,Onslaught Girdle,430
2309,3/30,Mccauley,Breastplate of Annihilation,430
445,,Babayaga,nerubian slavemaker,430
111,,Dane,Desecrated Legplates,430
2462,4/27,Keen,Eye of C'thun,430
2899,7/12,Eze,Gem of Trapped Innocents,428
2303,3/30,Kibbles,Eyestalk Waist Cord,427
2893,7/6,Rogueisme,Cloak of Concentrated Hatred,425
1641,12/28,Respira,Soulseeker,425
2531,5/11,Nightsurviv,Grasp of the Old God,422
1447,,Silly,Hammer of the Twisting Nether,422
1506,,Jack,Nerubian Slavemaker,422
665,,Oom,Leggings of Polarity,420
3155,8/23,Devious,Wristguards of Vengeance,420
644,,Nieth,The Widow's Embrace,420
2349,4/6,spooqe,Rejuvenating Gem,420
2810,6/21,Plated,Might of Menethil,420
1024,,Brockstar,Vanquished tentacles of cthun,420
1906,1/25,Tunasubgg,Girdle of the Mentor,420
2512,5/10,Rowaine,Hammer of the Twisting Nether,420
540,,Shaq,Desecrated Robe,420
922,,Fatjaws,Leggings of Apocalypse,420
3162,8/23,Galavant,Band of Unnatural Forces,415
2226,3/16,Inu,Anubisath Warhammer,415
1967,2/1,Throndil,Sapphiron's Right Eye,412
1840,1/18,Sandown,Might of Menethil,412
579,,Manowar,Might of the Scourge,410
203,,Blackstabath,Desecrated Legplates,408
2832,6/28,skylarke,Cloak of the Necropolis,407
2757,6/14,Aetherium,Band of Unnatural Forces,403
1508,,Nuranfu,Hammer of the Twisting Nether,402
2425,4/20,Easykheal,Rejuvenating Gem,401
2900,7/12,Galavant,Might of Menethil,401
3204,8/30,Ismago,Band of Unnatural Forces,401
2673,6/1,Mallanim,Prestor's Talisman of Connivery,401
1054,,Ezekyle,Leggings of Polarity,401
1514,,Blackhanded,Widow's Remorse,401
2614,5/24,Nuranfu,Stormrage's Talisman of Seething,400
96,,Tunasubgg,Legplates of Carnage,400
2799,6/21,Bltoaster,Rime Covered Mantle,400
1621,12/28,Holyox,Wand of the Whispering DeaD,400
2220,3/16,Holyskank,Sceptor of the False Prophet,400
2730,6/8,Respira,Eyestalk Waist Cord,400
1021,,Hunten,Badge ,400
265,,Manowar,Badge of the Swarmguard,400
1838,1/18,Ezekyle,Soul Harvester's Bindings,400
441,,Virahl,Might of the Scourge,400
2155,3/2,Markhunt,Barbed Choker,400
1441,,Iggsy,Girdle of the Mentor,400
2206,3/15,Respira,Might of the Scourge,400
552,,Tof,Rime Covered Mantle,399
2460,4/27,Tofra,Jom Gabbar,399
1305,,Varros,Wraith Blade,397
1563,12/21,Iggsy,Stormrage's Talisman of Seething,395
1959,1/26,Eedz,Carapace of the Old God,389
1724,1/5,Throndil,Pure Elementium Band,389
2533,5/11,Kushbong,Eye of C'Thun,388
3161,8/23,Kushbomb,Ring of the Eternal Flame,387
1450,,Ezekyle,Sapphiron's Left Eye,384
1714,1/4,Sandi,Wristguards of Vengeance,383
624,,Tiric,Drillborer Disk,381
304,,Thunderhamer,The Castigator,377
2511,5/10,Shredz,Might of Menethil,376
1711,1/4,Thorgene,Face of Death,376
2498,5/4,Hamtaro,Pure Elementium Band,375
840,,Ezekyle,Wraith Blade,375
2630,5/25,Inuyashasama,Eye of C'Thun,375
17,,Rumpelz,The Castigator,375
3235,8/31,Mcrib,Eye of C'Thun,375
2534,5/11,Wumbologi,Badge of the Swarmguard,375
916,,Xorkal,"Iblis, Blade of the Fallen Sereph",374
2552,5/11,Markhunt,Quick Strike Ring,374
2137,3/1,Plated,Band of Unnatural Forces,369
1459,,Raphael,Wristguards of Vengeance,369
1073,,Rella,Might of the Scourge,369
546,,Nieth,Resilience of the Scourge,369
1457,,Nieth,Neclace of Necropsy,369
2192,3/9,Immortaler,Chromatically Tempered Sword,369
2521,5/10,Malekk,Wristguards of Vengeance,368
581,,Hadria,Desecrated Robe,366
851,,Kibbles,Sapphiron's Right Eye,366
2221,3/16,Glowork,Cloak of the Devoured,366
2728,6/8,ismagu,Eye of C'Thun,366
2207,3/15,Ahi,Sapphiron's Right Eye,365
2617,5/24,Medium,The Phylactery of Kel'Thuzad,364
2448,4/26,Saya,Misplaced Servo Arm,364
2307,3/30,Glowork,Shard of the Fallen Star,363
466,,Cypris,Prestor's Talisman of Canniveery,360
2265,3/23,Ahi,Chromatically Tempered Sword,358
573,,Hlista,Soulseeker,358
2520,5/10,Kibbles,Leggings of Polarity,355
2709,6/7,Ismagu,Nerubian Slavemaker,355
1653,12/28,Nightsummon,Wraith Blade,355
3032,8/2,Valerick,Soulstring,352
282,,Rogueisme,Jom Gabbar,352
2660,5/31,Kazic,"Iblis, Blade of the Fallen Seraph",351
1148,,Keen,Power of the Scourge,350
2477,5/3,Nuranfu,Might of Menethil,350
2814,6/22,Morty,Eye of C'Thun,350
2028,2/9,Ezekyle,Fetish of the Sand Reaver,350
3118,8/17,Gamuza,Eye of C'Thun,350
1246,,Respira,Maladath,350
2263,3/23,Markhunt,Askhandi,350
674,,Cypris,Shroud of Dominion,350
1820,1/12,Virahl,Eye of C'Thun,350
2323,4/5,Respira,Hammert of the Twisting Nether,350
2286,3/29,Jimbo,Seal of the Damned,350
3154,8/23,Jyro,Plated Abomination Ribcage,350
2408,4/19,Throndil,Libram of Light,350
289,,Haka,Girdle of the Mentor,350
2490,5/3,Clonkx,Wristguards of Vengeance,350
205,,Alishia,Band of Unnatural Forces,348
2321,4/5,Nineteen,Might of Menethil,346
2966,7/19,BLT,The Soul Harvester's Bindings,346
2819,6/22,Inu,Ring of the Qiraji Fury,345
2285,3/29,Raphael,Might of the Scourge,343
2223,3/16,Fatjaws,Burrower's Shell,341
2851,6/29,Shredz,Chromatic Boots,336
2864,7/5,Zaek,Soulseekr,336
538,,Rogueisme,"Iblis, Blade of the Fallen Seraph",335
970,,Brockstar,Choker of the FIre Lord,333
2081,2/22,Spooge,Phylactery,333
2135,3/1,Rowaine,The Soul Harvester's Bindings,333
2887,7/6,Nuranfu,Ring of Qiraji Fury,333
2959,7/19,Merlinsbeard,Frostfire Ring,332
3226,8/30,Yumi,Cloak of the Necropolis,331
1380,,Sayapologize,Band of Unnatural Forces,330
2694,6/1,Glowork,Band of Accuria,330
2602,5/18,Tuko,Pauldrons of Transcendence,328
2399,4/19,Eedz,Phylactery,327
2955,7/19,Kazicx,Band of Unnatural Forces,326
2756,6/14,Shredz,The Castigator,326
2087,2/22,Ismagu,Might of the Scourge,325
2571,5/17,Thondil,Band of Unanswered Prayers,325
2006,2/8,Tuna,Stormrage's Talisman of Seething,325
3101,8/10,Lightborn,LGG,324
2522,5/10,Lightbornne,Cloak of Suturing,322
2970,7/20,Shredz,Eye of C'Thun,322
177,,Ezekyle,Cloak of the Devoured,320
2678,6/1,Glowork,Chromatic Boots,320
678,,Keen,phylactery,316
2537,5/11,Sandi,Barbed Choker,316
2492,5/3,Keen,Loatheb Reflection,315
1203,,Shaq,Wand of the Whispering Dead,314
549,,Fatjaws,Harbinger of Doom,310
2885,7/6,Kushbomb,Royal Sceptor of Vek'lor,310
1100,,Inuyasha,Chromatically Tempered Sword,307
2749,6/14,Hadria,The Phylactery of Kel'Thuzad,306
1308,,Hashie,The Castigator,306
1448,,Flowork,Phylactery,306
1011,,Todger,Doomfinger,306
1,,Varros,Wristguards of Vengeance,305
2824,6/22,Glowork,Ritssyn's RIng of Chaos,304
1182,,Keen,amulet of vek'nilash,304
2372,4/12,Aetherium,Wristguards of Vengeance,303
2985,7/26,Kazic,Might of the Scourge,302
1600,12/22,Remembrancer,Don Rigoberto's Lost Hat,301
1921,1/25,Rogueisme,Phylactery,301
948,,Ccheetzaz,Chromatically Tempered Sword,301
290,,Zhendou,Desecrated Headpiece,301
2724,6/8,Okor,Quick Strike Ring,301
2835,6/28,Iggy,Might of the Scourge,301
2112,2/23,Floraldyn,"Ashkhandi, Greatsword of my Ass",300
2802,6/21,Flixter,The Soul Harvester's Bindings,300
2776,6/15,Kushbomb,Netherwind Robes,300
1570,12/21,Virahl,Might of the Scourge,300
1344,,Kulmirik,Mark of Cthun,300
828,,Boenita,Leggings of Polarity,300
2376,4/13,Daryas,Eye of C'Thun,300
2809,6/21,Kushbomb,Phylactery,300
2486,5/3,Gaussqt,Soulstring,300
1405,,Kookeyz,Bracers of Arcane Accuracy,300
2395,4/19,Spooge,Soulseeker,300
1931,1/26,Rogueisme ,Eye of Cthun,300
2998,7/27,Fatjaws,Prestor's Talisman of Cannivery,300
2129,3/1,Kulmirik,Power of the Scourge,300
1373,,Sayapologize,Might of the Scourge,300
1015,,Fatjaws,Bonescythe Ring,300
2202,3/15,Morty,Phylactery,300
984,,Kulmirik,Rime Covered Mantle,300
2638,5/25,Lightbornne,Legplates of Blazing Light,300
1786,1/11,Spooqe,Band of the Inevitable,299
1141,,Dane,Kingsfall,299
1138,,Yumi,Warmth of Forgiveness,299
2713,6/7,Jimbo,Power of the Scourge,299
377,,Tiric,Breastplate of Annihilation,299
2884,7/6,Jimbo,The Burrower's Shell,299
2869,7/5,Skylark,Power of the Scourge,298
2287,3/29,Throndil,Plated Abomination Ribcage,297
3223,8/30,Zak,Power of the Scourge,296
84,,Manowar,Wristguards of Vengeance,291
1886,1/19,Legits,Brutality Blade,291
3229,8/30,Ismagu,Might of Menethil,290
1047,,Nightsummon,Wand of Fates,289
1713,1/4,Varros,Might of the Scourge,289
2965,7/19,Devious,Soulstring,288
454,,Tiric,Lifegiving Gem,283
1992,2/2,Cumon,Brutality Blade,282
2767,6/14,Iggy,wristguard of vengeance,278
2842,6/28,Skylarke,Warmth of Forgiveness,277
2371,4/12,Malekk,Ghoul Skin Tunic,276
221,,Plated,Rejuvinating Gem,276
3234,8/31,Lightborn,Belt of Never-Ending Agony,276
901,,Respira,Band of Unnatural Forces,275
1094,,Sayapologize,Drake Fang Talisman,272
2277,3/29,Silly,Phylactery,270
1135,,Raphael,Girdle of the Mentor,270
2310,3/30,Ahi,Eye of C'Thun,270
2482,5/3,Chihua,The Face of Death,269
231,,Toframadur,Neltharion's Tear,269
2363,4/12,Prastinna,Sapph's Right Eye,269
1040,,Nightsummon,Eye of Cthun,269
286,,Dinkkle,Dark Storm Gauntlets,269
1072,,Rowaine,Power of the Scourge,269
542,,Hamtaro,Leggings of Apocalypse,268
101,,Volo,Desecrated Shoulderpads,268
2536,5/11,Mallanim,Cloak of Concentrated Hatred,268
847,,Sayberr,Desecrated Tunic,266
19,,Volo,Desecrated Circlet,261
2677,6/1,Sandi,"Maladath, Runed Blade of the Black Flight",260
18,,Keen,Desecrated Circlet,260
2025,2/9,Sandown,Mark of Cthun,260
2243,3/22,Jimbo,Power of the Scourge,259
2987,7/26,Spooge,Seal of the Damned,258
764,,Nieth,Desecrated Tunic,257
199,,Dinkkle,Desecrated Circlet,257
1145,,Nightsummon,Sapphiron's Left Eye,256
2622,5/24,Ismago,Might of the Scourge,255
2716,6/7,Yumi,Wraith Blade,255
2608,5/24,BLT,Wraith Blade,255
821,,Keen,Wand of Fates,255
3071,8/9,Begs,Plated Abomination Ribcage,255
2917,7/13,Nuranfu,Pure Elementium Band,254
1453,,Dolphin,Might of the Scourge,253
2731,6/8,Flowork,vanquished tentacle of c'thun,252
2800,6/21,valerick,The Castigator,252
1446,,Dolphin,Nerubian Slavemaker,252
1343,,Valerick,Eye of Cthun,251
1394,,Yumi,Rejuvenating Gem,251
1916,1/25,Remembrancer,Cloak of Suturing ,251
2237,3/16,Ismago,Quick Strike Ring,251
1004,,Kulmirik,Desecrated Robe,250
2421,4/20,Bltoaster,Staff of the Shadow Flame,250
2244,3/22,Vav,Might of the Scourge,250
2368,4/12,Inu,Legplates of Carnage,250
1808,1/12,Respira,Fetish of the Sand Reaver,250
544,,Respirua,The Face of Death,250
3231,8/30,Pookstar,Phylacery,250
1564,12/21,Cuminmei,Shield of Condemnation,250
1012,,Wumbo,Stormrage's Talisman of Seething,250
3222,8/30,Respira,Might of the Scourge,250
2050,2/15,Rocksteady,Might of the Scourge,250
1905,1/25,Respira,The Soul Harvester's Bindings,250
1025,,Respira,Barbed Choker,250
2031,2/9,Hadria,Bracelets of Royal Redemption,250
912,,Brockstar,Band of Unanswered Prayers,250
924,,Ezekyle,Desecrated Robe,250
3028,8/2,Shredz,Might of the Scourge,250
582,,Respira,Desecrated Tunic,250
1809,1/12,Throndil,Ring of the Qiraji Fury,250
577,,Kulmirik,Sapphiron's Left Eye,250
3120,8/17,Sephirath,Eyestalk Waist Cord,250
2427,4/20,Lightbournne,Choker of the Fire Lord,250
2382,4/13,Markhunt,Qiraji Bindings of Command,250
178,,Hadria,Eye of Cthun,250
2009,2/8,Varros,Shroud of Dominion,249
3183,8/24,Lightborn,Chromatically Tempered Sword,248
416,,Yumiki,Cloak of Suturing,243
107,,Yumiki,Desecrated Circlet,242
923,,Keen,Desecrated Robe,241
953,,Lucen,Staff of the Shadow Flame,240
2560,5/17,Throdn,Might of the Scourge,240
3228,8/30,koneko,shroud of dominion,240
2122,3/1,Saya,Nerubian Slavemaker,240
580,,Tof,Power of the Scourge,240
3108,8/16,Manowar,Nerubian Slavemaker,240
2052,2/15,Tuna,The Castigator,238
180,,Yumiki,Band of Unanswered Prayers,238
435,,Hadria,Warmth of Forgiveness,237
1489,,Mav,Eye of Cthun,236
318,,Blackstabatrh,Desecrated Breastplate,236
1987,2/2,Flowork,Choker of the Fire Lord,235
2255,3/22,Todger,Band of the Inevitable,234
90,,Fatjaws,Desecrated Gauntlets,232
433,,Fatjaws,Desecrated Sabatons,230
1242,,Manowar,Chromatic Boots,230
525,,Keen,Brimstone Staff,230
2026,2/9,Fatjaws,Eye of Cthun,226
2250,3/22,Vav,Phylactery,226
2444,4/26,Gamuza,Might of the Scourge,225
2125,3/1,Gamuza,Phylactery,225
772,,Haka,phylactery,225
425,,Sardinas,Band of Unanswered Prayers,224
1190,,Mavmoney,cloak of the devoured,224
855,,Tofra,Frostfire Ring,223
2222,3/16,Ismago,Eye of Cthun,222
1595,12/22,Tofra,Eye of C'Thun,222
2139,3/1,Prastinna,Warmth of Forgiveness,222
1009,,Tofra,Sapphiron's Left Eye,222
82,,Toframadur,Eyestalk Waist Cord,222
1841,1/18,Biggerbill,Phylactery,221
2144,3/2,Remembrancer,Eye of C'thun,220
2635,5/25,Ahi,Boots of the Fallen Hero,220
2633,5/25,Fatjaws,Ring of Emperor Vek'lor,220
124,,Kibbles,Rejuv Gem,220
2619,5/24,Nightsurviv,Sapphiron's Right Eye,219
320,,Hunten,Soulstring,219
844,,Wumbo,"Iblis, Blade of the Fallen Sereph",218
235,,Volho,Band of Accuria,217
2759,6/14,Clonkx,The Widow's Embrace,216
613,,Kibbles,"Mish'undare, Circlet of the Mind Flayer",213
1614,12/22,Flowork,Carapace of the Old God,212
1306,,Flixter,Power of the Scourge,212
3215,8/30,Yumi,Eye of Diminution,211
576,,Ismagu,phylactery,211
88,,Blackstabath,Desecrated Bracers,210
102,,Hunten,Desecrated Spaulders,210
2386,4/13,Legits,Carapace of the old god,209
823,,Hamtaro,End of Dreams,207
170,,Plated,Shard of the Fallen Star,207
545,,Keen,Fortitude of the Scourge,206
176,,Volo,Grasp of the Old God,205
2291,3/29,Jimbo,Band of the Inevitable,205
207,,Mavmoney,The Soul Harvester's Bindings,204
1908,1/25,Plated,Wristguards of Vengeance,203
1042,,Valerick,Carapace of the Old God,203
225,,Kulmirik,Chromatic Boots,202
3045,8/3,BLT,Royal Sceptor of Vek'lor,202
222,,Tiric,Styleen's Impeding Scarab,202
1625,12/28,Iggs,Soulstring,202
1774,1/11,Jimbo,Phylactery,201
2264,3/23,Ismagu,Prestor's Talisman of Connivery,201
2149,3/2,Yumi,Bracelets of Royal Redemption,201
2881,7/6,Kindbud,Eye of C'Thun,201
22,,Dinkkle,Desecrated Sandals,201
1303,,Blackhanded,Face of Death,201
3044,8/3,Valerick,Eye of C'Thun,201
2068,2/16,Silly,Fetish of the Sand Reaver,201
2452,4/26,Holyskank,Midnight Haze,201
1871,1/19,Tukobonk,Bonereaver's Edge,201
1037,,Thunderhamer,Larvae of the Great Worm,201
2901,7/12,Devious,The Phylactery of Kel'Thuzad,201
3259,,Shredz,Plated Abomination Ribcage,200
339,,Respira,Chromatic Boots,200
1005,,Filox,Desecrated Breastplate,200
1349,,Sardinas,Jom Gabbar,200
408,,Manowar,Girdle of the Mentor,200
